RowName,ID,Name,Age,InitialTeam,RacerStats,
1,1,Tomasz,42,LD,(Rating=10),
2,2,Marc,25,LD,(Rating=13),
3,3,Aivar G.,23,LD,(Rating=13),
4,4,Andrej,44,LD,(Rating=10),
5,5,Erik G.,23,LD,(Rating=6),
6,6,Janis,16,LD,(Rating=2),
7,7,Bartosz,27,SW,(Rating=13),
8,8,Kai,25,SW,(Rating=12),
9,9,Darcy,33,SW,(Rating=9),
10,10,Artur J.,23,SW,(Rating=6),
11,11,Brady,24,SW,(Rating=5),
12,12,Genadij,15,SW,(Rating=1),
13,13,Jonas,25,WCz,(Rating=10),
14,14,David B.,25,WCz,(Rating=13),
15,15,Joren,44,WCz,(Rating=7),
16,16,Michaell,32,WCz,(Rating=12),
17,17,Robert,23,WCz,(Rating=5),
18,18,Dyn,23,WCz,(Rating=3),
19,19,Fredrik,45,UT,(Rating=14),
20,20,Artur N.,45,UT,(Rating=7),
21,21,Egor,34,UT,(Rating=7),
22,22,Stephane,26,UT,(Rating=10),
23,23,Erik K.,21,UT,(Rating=6),
24,24,Edgar,16,UT,(Rating=1),
25,25,Edik V.,41,ML,(Rating=10),
26,26,Grisza,40,ML,(Rating=10),
27,27,Danil,45,ML,(Rating=15),
28,28,Ritvars,22,ML,(Rating=9),
29,29,Timo,25,ML,(Rating=4),
30,30,Alexander,16,ML,(Rating=1),
31,31,Kenneth,27,SGo,(Rating=6),
32,32,Tobias,25,SGo,(Rating=10),
33,33,Marek,42,SGo,(Rating=12),
34,34,Valera,48,SGo,(Rating=8),
35,35,Thomas,22,SGo,(Rating=8),
36,36,Sergej,16,SGo,(Rating=1),
37,37,Ilja,50,RR,(Rating=6),
38,38,Leva,45,RR,(Rating=7),
39,39,Slavik,38,RR,(Rating=3),
40,40,Troy,32,RR,(Rating=1),
41,41,Tihan,22,RR,(Rating=5),
42,42,Marc C.,23,RR,(Rating=1),
43,43,Jason,28,UL,(Rating=6),
44,44,Erik M.,20,UL,(Rating=5),
45,45,Chriss,36,UL,(Rating=4),
46,46,Zhan,33,UL,(Rating=7),
47,47,Artur B.,15,UL,(Rating=1),
48,48,Nikita,22,UL,(Rating=2),
49,49,Teodor,24,OL,(Rating=5),
50,50,Artem,16,OL,(Rating=5),
51,51,Matiass,35,OL,(Rating=5),
52,52,Scott,34,OL,(Rating=7),
53,53,Vova,46,OL,(Rating=2),
54,54,Oleg,15,OL,(Rating=1),
55,55,Maks,40,WG,(Rating=6),
56,56,Nicki,36,WG,(Rating=4),
57,57,Tolja,24,WG,(Rating=4),
58,58,Maris,18,WG,(Rating=6),
59,59,Ivan,26,WG,(Rating=4),
60,60,Jarik,22,WG,(Rating=2),
61,61,Tai,38,FZ,(Rating=6),
62,62,Paulo,24,FZ,(Rating=6),
63,63,Jacob T.,23,FZ,(Rating=5),
64,64,Edik B.,46,FZ,(Rating=2),
65,65,Slavik K.,20,FZ,(Rating=1),
66,66,Nikita N.,16,FZ,(Rating=2),
67,67,Marek G.,16,SGn,(Rating=6),
68,68,Kolja,44,SGn,(Rating=5),
69,69,Edvin,43,SGn,(Rating=6),
70,70,Martin,34,SGn,(Rating=2),
71,71,Hugo,21,SGn,(Rating=1),
72,72,Artemij,15,SGn,(Rating=2),
