---,ID,Name,Age,Nationality,InitialTeam,RacerStats
1,1,Tomasz,42,Poland,LD,"(Rating=10,Reaction=7,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 7),(Grip, 7)))"
2,2,Marc,25,USA,LD,"(Rating=13,Reaction=8,Adaptability=-2,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 9),(Grip, 6)))"
3,3,Aivar G.,23,Russia,LD,"(Rating=13,Reaction=9,Adaptability=4,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 9),(Grip, 9)))"
4,4,Andrej,44,Latvia,LD,"(Rating=10,Reaction=6,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 8),(Normal, 6),(Grip, 6)))"
5,5,Erik G.,23,Latvia,LD,"(Rating=6,Reaction=6,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 6),(Grip, 5)))"
6,6,Janis,16,Latvia,LD,"(Rating=2,Reaction=8,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
7,7,Bartosz,27,Poland,SW,"(Rating=13,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 8),(Normal, 9),(Grip, 8)))"
8,8,Kai,25,Germany,SW,"(Rating=12,Reaction=8,Adaptability=-2,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 8),(Grip, 6)))"
9,9,Darcy,33,Australia,SW,"(Rating=9,Reaction=7,Adaptability=2,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 7),(Grip, 7)))"
10,10,Artur J.,23,Poland,SW,"(Rating=6,Reaction=8,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 5),(Grip, 4)))"
11,11,Brady,24,USA,SW,"(Rating=5,Reaction=5,Adaptability=-2,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 4)))"
12,12,Genadij,15,Poland,SW,"(Rating=1,Reaction=3,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
13,13,Jonas,25,Finland,WCz,"(Rating=10,Reaction=7,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 8),(Grip, 6)))"
14,14,David B.,25,France,WCz,"(Rating=13,Reaction=8,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 9),(Grip, 7)))"
15,15,Joren,44,Sweden,WCz,"(Rating=7,Reaction=5,Adaptability=-4,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 5),(Grip, 4)))"
16,16,Michaell,32,Denmark,WCz,"(Rating=12,Reaction=8,Adaptability=3,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 8),(Grip, 8)))"
17,17,Robert,23,GreatBritain,WCz,"(Rating=5,Reaction=5,Adaptability=-2,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 4)))"
18,18,Dyn,23,Finland,WCz,"(Rating=3,Reaction=2,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 4),(Grip, 4)))"
19,19,Fredrik,45,Sweden,UT,"(Rating=14,Reaction=8,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 9),(Normal, 8),(Grip, 8)))"
20,20,Artur N.,45,Russia,UT,"(Rating=7,Reaction=7,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 5),(Grip, 6)))"
21,21,Egor,34,Sweden,UT,"(Rating=7,Reaction=6,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 6),(Grip, 5)))"
22,22,Stephane,26,France,UT,"(Rating=10,Reaction=8,Adaptability=-2,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 8),(Grip, 6)))"
23,23,Erik K.,21,Poland,UT,"(Rating=6,Reaction=5,Adaptability=-3,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 4)))"
24,24,Edgar,16,Finland,UT,"(Rating=1,Reaction=3,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
25,25,Edik V.,41,Poland,ML,"(Rating=10,Reaction=7,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 9),(Normal, 7),(Grip, 6)))"
26,26,Grisza,40,Poland,ML,"(Rating=10,Reaction=7,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 7),(Grip, 7)))"
27,27,Danil,45,Chech,ML,"(Rating=15,Reaction=9,Adaptability=3,DrivingSkillsOnEachTrack=((Hard, 9),(Normal, 9),(Grip, 10)))"
28,28,Ritvars,22,Latvia,ML,"(Rating=9,Reaction=7,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 7),(Grip, 5)))"
